Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
1,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
2,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
3,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
4,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
5,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
6,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
7,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
8,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
9,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
10,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
11,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
12,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
13,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
14,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
15,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
16,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
17,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
18,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
19,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
20,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
21,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
22,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
23,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
24,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
25,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
26,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
27,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
28,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
29,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
30,-0.1649,-0.0906,0.2476,3.0603,0.1059,1.2004
31,-0.1655,-0.0917,0.2477,3.057,0.1075,1.2024
32,-0.1663,-0.0928,0.2477,3.0522,0.11,1.2054
33,-0.1675,-0.0941,0.2478,3.0472,0.1128,1.2085
34,-0.1686,-0.0951,0.2478,3.0413,0.1161,1.2121
35,-0.17,-0.0963,0.2478,3.0362,0.1191,1.2152
36,-0.1725,-0.097,0.2478,3.0298,0.123,1.219
37,-0.1759,-0.097,0.2477,3.0234,0.1273,1.2228
38,-0.1773,-0.0977,0.2476,3.0167,0.1316,1.2268
39,-0.1803,-0.0975,0.2473,3.0105,0.1353,1.2305
40,-0.1815,-0.0981,0.2472,3.0039,0.1396,1.2344
41,-0.1841,-0.0977,0.247,2.9976,0.1434,1.2382
42,-0.1856,-0.0981,0.2468,2.991,0.1478,1.2421
43,-0.1885,-0.0975,0.2465,2.9848,0.1516,1.2459
44,-0.1896,-0.0979,0.2463,2.9781,0.1561,1.2499
45,-0.1924,-0.0972,0.246,2.9718,0.16,1.2537
46,-0.1936,-0.0976,0.2458,2.9651,0.1645,1.2577
47,-0.1963,-0.0968,0.2455,2.9587,0.1684,1.2616
48,-0.1975,-0.0971,0.2452,2.952,0.173,1.2656
49,-0.2002,-0.0963,0.2449,2.9455,0.177,1.2695
50,-0.2013,-0.0966,0.2447,2.9387,0.1816,1.2736
51,-0.2041,-0.0958,0.2444,2.9322,0.1857,1.2775
52,-0.2051,-0.0961,0.2441,2.9254,0.1903,1.2816
53,-0.2079,-0.0952,0.2438,2.9188,0.1944,1.2856
54,-0.2089,-0.0955,0.2436,2.912,0.1991,1.2897
55,-0.2116,-0.0946,0.2433,2.9054,0.2032,1.2938
56,-0.2142,-0.0937,0.2431,2.8981,0.2083,1.2981
57,-0.215,-0.0941,0.2428,2.8913,0.2127,1.3022
58,-0.2175,-0.0934,0.2427,2.8848,0.2168,1.3062
59,-0.2197,-0.0927,0.2426,2.8775,0.2217,1.3105
60,-0.2211,-0.0922,0.2425,2.8723,0.2252,1.3136
61,-0.2217,-0.092,0.2425,2.8693,0.2274,1.3154
62,-0.222,-0.0919,0.2425,2.868,0.2283,1.3162
63,-0.2226,-0.0912,0.2429,2.8686,0.2281,1.3158
64,-0.2231,-0.0905,0.2436,2.8724,0.2262,1.3135
65,-0.2228,-0.0907,0.2441,2.8758,0.2243,1.3114
66,-0.2222,-0.0916,0.2445,2.8758,0.224,1.3113
67,-0.2214,-0.0928,0.2448,2.8743,0.2247,1.3122
68,-0.2206,-0.0942,0.2451,2.8719,0.2259,1.3135
69,-0.2198,-0.0958,0.2455,2.8692,0.2274,1.3151
70,-0.2189,-0.0973,0.2458,2.8663,0.229,1.3168
71,-0.2181,-0.0989,0.246,2.8634,0.2308,1.3186
72,-0.2173,-0.1006,0.2463,2.8604,0.2326,1.3203
73,-0.2165,-0.1022,0.2466,2.8575,0.2343,1.3221
74,-0.2156,-0.1038,0.2468,2.8547,0.2361,1.3237
