Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
1,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
2,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
3,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
4,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
5,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
6,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
7,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
8,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
9,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
10,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
11,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
12,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
13,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
14,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
15,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
16,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
17,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
18,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
19,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
20,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
21,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
22,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
23,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
24,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
25,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
26,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
27,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
28,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
29,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
30,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
31,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
32,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
33,-0.1653,-0.0903,0.2479,3.0614,0.1061,1.1997
34,-0.1663,-0.0909,0.2484,3.0616,0.1083,1.1996
35,-0.1676,-0.0916,0.2489,3.0619,0.1115,1.1995
36,-0.1692,-0.0924,0.2495,3.0621,0.1152,1.1993
37,-0.1708,-0.0931,0.2501,3.0623,0.1192,1.1992
38,-0.1728,-0.0939,0.2507,3.0624,0.1234,1.1991
39,-0.1747,-0.0946,0.2513,3.0626,0.128,1.1991
40,-0.1763,-0.0951,0.2518,3.0626,0.1326,1.199
41,-0.1782,-0.0957,0.2523,3.0627,0.1365,1.199
42,-0.1802,-0.0962,0.2528,3.0627,0.141,1.1989
43,-0.1829,-0.0964,0.2531,3.0626,0.1459,1.1989
44,-0.1854,-0.0964,0.2532,3.0622,0.1513,1.199
45,-0.1872,-0.0967,0.2536,3.0621,0.1561,1.199
46,-0.1901,-0.0961,0.2535,3.0621,0.1608,1.199
47,-0.1918,-0.0963,0.2538,3.0619,0.1663,1.1991
48,-0.1943,-0.0958,0.2536,3.0619,0.1708,1.1991
49,-0.1959,-0.096,0.254,3.0618,0.1758,1.1991
50,-0.1981,-0.0956,0.2539,3.0618,0.1805,1.1991
51,-0.2,-0.0957,0.2542,3.0617,0.1856,1.1991
52,-0.2022,-0.0953,0.2541,3.0617,0.1903,1.1991
53,-0.2041,-0.0954,0.2544,3.0616,0.1955,1.1991
54,-0.2066,-0.0948,0.2542,3.0616,0.2003,1.1991
55,-0.2082,-0.095,0.2546,3.0615,0.2055,1.1991
56,-0.2107,-0.0944,0.2544,3.0615,0.2103,1.199
57,-0.2123,-0.0946,0.2548,3.0614,0.2156,1.1991
58,-0.2147,-0.094,0.2546,3.0614,0.2205,1.199
59,-0.2164,-0.0941,0.255,3.0613,0.2258,1.1991
60,-0.2188,-0.0935,0.2548,3.0613,0.2307,1.199
61,-0.2203,-0.0936,0.2551,3.0612,0.2361,1.1991
62,-0.2228,-0.093,0.255,3.0612,0.2407,1.199
63,-0.2245,-0.0931,0.2554,3.0611,0.2463,1.1991
64,-0.2266,-0.0926,0.2552,3.0611,0.2513,1.199
65,-0.2286,-0.0926,0.2555,3.061,0.2568,1.199
66,-0.2313,-0.0918,0.2553,3.061,0.2619,1.199
67,-0.2328,-0.0919,0.2556,3.0609,0.2679,1.1991
68,-0.2349,-0.0912,0.2554,3.0609,0.2727,1.199
69,-0.2366,-0.0913,0.2558,3.0608,0.2776,1.199
70,-0.2388,-0.0907,0.2556,3.0608,0.2829,1.199
71,-0.2405,-0.0908,0.256,3.0608,0.288,1.199
72,-0.243,-0.09,0.2558,3.0608,0.2934,1.199
73,-0.2447,-0.09,0.2562,3.0607,0.2992,1.199
74,-0.2471,-0.0892,0.2559,3.0607,0.3044,1.199
