Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
1,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
2,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
3,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
4,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
5,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
6,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
7,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
8,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
9,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
10,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
11,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
12,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
13,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
14,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
15,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
16,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
17,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
18,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
19,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
20,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
21,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
22,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
23,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
24,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
25,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
26,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
27,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
28,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
29,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
30,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
31,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
32,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
33,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
34,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
35,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
36,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
37,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
38,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
39,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
40,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
41,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
42,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
43,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
44,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
45,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
46,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
47,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
48,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
49,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
50,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
51,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
52,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
53,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
54,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
55,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
56,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
57,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
58,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
59,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
60,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
61,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
62,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
63,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
64,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
65,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
66,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
67,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
68,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
69,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
70,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
71,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
72,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
73,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
74,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
